Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
lp-ar105,LED padelbaanschijnwerper 60-150W instelbaar 25.500 lm 5000K,"<p>LED padelbaanschijnwerper met 100x60 graden optiek en 170 lm/W, IP66 en IK10. Gelijkmatige verlichting van de hele kooi zonder strooilicht naar de omgeving. Uitvoering met instelbaar vermogen beschikbaar.</p><ul><li>100x60 graden padeloptiek</li><li>170 lm/W</li><li>IP66, IK10</li><li>Weinig strooilicht</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>60-90-120-150W</td></tr><tr><td>Lichtstroom</td><td>25.500 lm</td></tr><tr><td>Lichtrendement</td><td>170 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>5000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 70</td></tr><tr><td>Lichtverdeling</td><td>100x60°</td></tr><tr><td>Driver</td><td>Sosen</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>niet dimbaar</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP66</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 6 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ARENA,"ARENA,B2B,Padelbaanverlichting",TRUE,Title,Default Title,LP-AR105,155.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ar105-1-l.webp,1,active
lp-ar105,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar105-2-l.webp,2,
lp-ar105,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar105-3-l.webp,3,
lp-ar105,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar105-4-l.webp,4,
lp-ar106,LED padelbaanschijnwerper 100-240W instelbaar 40.800 lm 5000K,"<p>LED padelbaanschijnwerper met 100x60 graden optiek en 170 lm/W, IP66 en IK10. Gelijkmatige verlichting van de hele kooi zonder strooilicht naar de omgeving. Uitvoering met instelbaar vermogen beschikbaar.</p><ul><li>100x60 graden padeloptiek</li><li>170 lm/W</li><li>IP66, IK10</li><li>Weinig strooilicht</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>100-150-200-240W</td></tr><tr><td>Lichtstroom</td><td>40.800 lm</td></tr><tr><td>Lichtrendement</td><td>170 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>5000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 70</td></tr><tr><td>Lichtverdeling</td><td>100x60°</td></tr><tr><td>Driver</td><td>Sosen</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>niet dimbaar</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP66</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 4 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ARENA,"ARENA,B2B,Padelbaanverlichting",TRUE,Title,Default Title,LP-AR106,219.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ar106-1-l.webp,1,active
lp-ar106,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar106-2-l.webp,2,
lp-ar106,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar106-3-l.webp,3,
lp-ar106,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar106-4-l.webp,4,
lp-ar107,LED tennisbaanschijnwerper 60-150W instelbaar 25.500 lm 4000K,"<p>LED tennisbaanschijnwerper met 120x45 graden optiek, grijze behuizing en vermogen instelbaar via dipswitch (100-80-60-40 procent). 170 lm/W, IP66 en IK10. Voor buitenbanen op bestaande masten.</p><ul><li>120x45 graden optiek</li><li>Vermogen instelbaar</li><li>170 lm/W</li><li>IP66, IK10</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>60-90-120-150W</td></tr><tr><td>Lichtstroom</td><td>25.500 lm</td></tr><tr><td>Lichtrendement</td><td>170 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 70</td></tr><tr><td>Lichtverdeling</td><td>120x45°</td></tr><tr><td>Driver</td><td>Sosen</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>niet dimbaar</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP66</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 6 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ARENA,"ARENA,B2B,Tennisbaanverlichting",TRUE,Title,Default Title,LP-AR107,159.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ar107-1-l.webp,1,active
lp-ar107,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar107-2-l.webp,2,
lp-ar107,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar107-3-l.webp,3,
lp-ar107,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar107-4-l.webp,4,
lp-ar108,LED tennisbaanschijnwerper 100-240W instelbaar 40.800 lm 4000K,"<p>LED tennisbaanschijnwerper met 120x45 graden optiek, grijze behuizing en vermogen instelbaar via dipswitch (100-80-60-40 procent). 170 lm/W, IP66 en IK10. Voor buitenbanen op bestaande masten.</p><ul><li>120x45 graden optiek</li><li>Vermogen instelbaar</li><li>170 lm/W</li><li>IP66, IK10</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>100-150-200-240W</td></tr><tr><td>Lichtstroom</td><td>40.800 lm</td></tr><tr><td>Lichtrendement</td><td>170 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 70</td></tr><tr><td>Lichtverdeling</td><td>120x45°</td></tr><tr><td>Driver</td><td>Sosen</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>niet dimbaar</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP66</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 4 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ARENA,"ARENA,B2B,Tennisbaanverlichting",TRUE,Title,Default Title,LP-AR108,235.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ar108-1-l.webp,1,active
lp-ar108,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar108-2-l.webp,2,
lp-ar108,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar108-3-l.webp,3,
lp-ar108,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar108-4-l.webp,4,
lp-ar109,LED tennisbaanschijnwerper 160-400W instelbaar 68.000 lm 4000K,"<p>LED tennisbaanschijnwerper met 120x45 graden optiek, grijze behuizing en vermogen instelbaar via dipswitch (100-80-60-40 procent). 170 lm/W, IP66 en IK10. Voor buitenbanen op bestaande masten.</p><ul><li>120x45 graden optiek</li><li>Vermogen instelbaar</li><li>170 lm/W</li><li>IP66, IK10</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>160-240-320-400W</td></tr><tr><td>Lichtstroom</td><td>68.000 lm</td></tr><tr><td>Lichtrendement</td><td>170 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 70</td></tr><tr><td>Lichtverdeling</td><td>120x45°</td></tr><tr><td>Driver</td><td>Sosen</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>niet dimbaar</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP66</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 2 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ARENA,"ARENA,B2B,Tennisbaanverlichting",TRUE,Title,Default Title,LP-AR109,445.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ar109-1-l.webp,1,active
lp-ar109,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar109-2-l.webp,2,
lp-ar109,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar109-3-l.webp,3,
lp-ar109,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar109-4-l.webp,4,
lp-at101,"LED high bay vlak 120W 19.200 lm 4000K, 0-10V dimbaar, Meanwell-driver","<p>Vlakke LED high bay met zeer lage verblinding (UGR&lt;21) en een zachte lichtverdeling van 110 graden. Met 160 lm/W, IK10-slagvastheid en een aluminium behuizing is dit de armatuur voor magazijnen, productiehallen en sporthallen waar comfort telt. Dimbaar via 0-10V of DALI; wordt de dimkabel niet aangesloten, dan werkt het armatuur gewoon aan/uit.</p><ul><li>UGR&lt;21, geen verblinding</li><li>160 lm/W</li><li>IK10 slagvast</li><li>0-10V of DALI dimbaar</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>120W</td></tr><tr><td>Lichtstroom</td><td>19.200 lm</td></tr><tr><td>Lichtrendement</td><td>160 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 80</td></tr><tr><td>Lichtverdeling</td><td>110°</td></tr><tr><td>Verblinding (UGR)</td><td>UGR&lt; 21</td></tr><tr><td>Driver</td><td>Meanwell</td></tr><tr><td>LED-chip</td><td>CREE</td></tr><tr><td>Dimming en besturing</td><td>0-10V</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP65</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 3 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ATRIA,"ATRIA,B2B,High bay vlak, UGR<21",TRUE,Title,Default Title,LP-AT101,325.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-at101-1-l.webp,1,active
lp-at101,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at101-2-l.webp,2,
lp-at101,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at101-3-l.webp,3,
lp-at101,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at101-4-l.webp,4,
lp-at102,"LED high bay vlak 200W 32.000 lm 4000K, 0-10V dimbaar, Meanwell-driver","<p>Vlakke LED high bay met zeer lage verblinding (UGR&lt;21) en een zachte lichtverdeling van 110 graden. Met 160 lm/W, IK10-slagvastheid en een aluminium behuizing is dit de armatuur voor magazijnen, productiehallen en sporthallen waar comfort telt. Dimbaar via 0-10V of DALI; wordt de dimkabel niet aangesloten, dan werkt het armatuur gewoon aan/uit.</p><ul><li>UGR&lt;21, geen verblinding</li><li>160 lm/W</li><li>IK10 slagvast</li><li>0-10V of DALI dimbaar</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>200W</td></tr><tr><td>Lichtstroom</td><td>32.000 lm</td></tr><tr><td>Lichtrendement</td><td>160 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 80</td></tr><tr><td>Lichtverdeling</td><td>110°</td></tr><tr><td>Verblinding (UGR)</td><td>UGR&lt; 21</td></tr><tr><td>Driver</td><td>Meanwell</td></tr><tr><td>LED-chip</td><td>CREE</td></tr><tr><td>Dimming en besturing</td><td>0-10V</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP65</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 2 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ATRIA,"ATRIA,B2B,High bay vlak, UGR<21",TRUE,Title,Default Title,LP-AT102,415.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-at102-1-l.webp,1,active
lp-at102,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at102-2-l.webp,2,
lp-at102,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at102-3-l.webp,3,
lp-at102,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at102-4-l.webp,4,
lp-at103,"LED high bay vlak 120W 19.200 lm 4000K, DALI","<p>Vlakke LED high bay met zeer lage verblinding (UGR&lt;21) en een zachte lichtverdeling van 110 graden. Met 160 lm/W, IK10-slagvastheid en een aluminium behuizing is dit de armatuur voor magazijnen, productiehallen en sporthallen waar comfort telt. Dimbaar via 0-10V of DALI; wordt de dimkabel niet aangesloten, dan werkt het armatuur gewoon aan/uit.</p><ul><li>UGR&lt;21, geen verblinding</li><li>160 lm/W</li><li>IK10 slagvast</li><li>0-10V of DALI dimbaar</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>120W</td></tr><tr><td>Lichtstroom</td><td>19.200 lm</td></tr><tr><td>Lichtrendement</td><td>160 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 80</td></tr><tr><td>Lichtverdeling</td><td>110°</td></tr><tr><td>Verblinding (UGR)</td><td>UGR&lt; 21</td></tr><tr><td>Driver</td><td>Sosen</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>DALI</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP65</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 3 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ATRIA,"ATRIA,B2B,High bay vlak, UGR<21",TRUE,Title,Default Title,LP-AT103,299.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-at103-1-l.webp,1,active
lp-at103,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at103-2-l.webp,2,
lp-at103,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at103-3-l.webp,3,
lp-at103,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at103-4-l.webp,4,
lp-at104,"LED high bay vlak 200W 32.000 lm 4000K, DALI","<p>Vlakke LED high bay met zeer lage verblinding (UGR&lt;21) en een zachte lichtverdeling van 110 graden. Met 160 lm/W, IK10-slagvastheid en een aluminium behuizing is dit de armatuur voor magazijnen, productiehallen en sporthallen waar comfort telt. Dimbaar via 0-10V of DALI; wordt de dimkabel niet aangesloten, dan werkt het armatuur gewoon aan/uit.</p><ul><li>UGR&lt;21, geen verblinding</li><li>160 lm/W</li><li>IK10 slagvast</li><li>0-10V of DALI dimbaar</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>200W</td></tr><tr><td>Lichtstroom</td><td>32.000 lm</td></tr><tr><td>Lichtrendement</td><td>160 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 80</td></tr><tr><td>Lichtverdeling</td><td>110°</td></tr><tr><td>Verblinding (UGR)</td><td>UGR&lt; 21</td></tr><tr><td>Driver</td><td>Sosen</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>DALI</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP65</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 2 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ATRIA,"ATRIA,B2B,High bay vlak, UGR<21",TRUE,Title,Default Title,LP-AT104,375.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-at104-1-l.webp,1,active
lp-at104,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at104-2-l.webp,2,
lp-at104,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at104-3-l.webp,3,
lp-at104,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at104-4-l.webp,4,
lp-at105,"LED high bay vlak 120W 19.200 lm 4000K, 0-10V dimbaar, Sosen-driver","<p>Vlakke LED high bay met zeer lage verblinding (UGR&lt;21) en een zachte lichtverdeling van 110 graden. Met 160 lm/W, IK10-slagvastheid en een aluminium behuizing is dit de armatuur voor magazijnen, productiehallen en sporthallen waar comfort telt. Dimbaar via 0-10V of DALI; wordt de dimkabel niet aangesloten, dan werkt het armatuur gewoon aan/uit.</p><ul><li>UGR&lt;21, geen verblinding</li><li>160 lm/W</li><li>IK10 slagvast</li><li>0-10V of DALI dimbaar</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>120W</td></tr><tr><td>Lichtstroom</td><td>19.200 lm</td></tr><tr><td>Lichtrendement</td><td>160 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 80</td></tr><tr><td>Lichtverdeling</td><td>110°</td></tr><tr><td>Verblinding (UGR)</td><td>UGR&lt; 21</td></tr><tr><td>Driver</td><td>Sosen</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>0-10V</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP65</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 3 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ATRIA,"ATRIA,B2B,High bay vlak, UGR<21",TRUE,Title,Default Title,LP-AT105,265.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-at105-1-l.webp,1,active
lp-at105,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at105-2-l.webp,2,
lp-at105,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at105-3-l.webp,3,
lp-at105,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at105-4-l.webp,4,
lp-at106,"LED high bay vlak 200W 32.000 lm 4000K, 0-10V dimbaar, Sosen-driver","<p>Vlakke LED high bay met zeer lage verblinding (UGR&lt;21) en een zachte lichtverdeling van 110 graden. Met 160 lm/W, IK10-slagvastheid en een aluminium behuizing is dit de armatuur voor magazijnen, productiehallen en sporthallen waar comfort telt. Dimbaar via 0-10V of DALI; wordt de dimkabel niet aangesloten, dan werkt het armatuur gewoon aan/uit.</p><ul><li>UGR&lt;21, geen verblinding</li><li>160 lm/W</li><li>IK10 slagvast</li><li>0-10V of DALI dimbaar</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>200W</td></tr><tr><td>Lichtstroom</td><td>32.000 lm</td></tr><tr><td>Lichtrendement</td><td>160 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>4000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 80</td></tr><tr><td>Lichtverdeling</td><td>110°</td></tr><tr><td>Verblinding (UGR)</td><td>UGR&lt; 21</td></tr><tr><td>Driver</td><td>Sosen</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>0-10V</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP65</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 2 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ATRIA,"ATRIA,B2B,High bay vlak, UGR<21",TRUE,Title,Default Title,LP-AT106,335.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-at106-1-l.webp,1,active
lp-at106,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at106-2-l.webp,2,
lp-at106,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at106-3-l.webp,3,
lp-at106,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-at106-4-l.webp,4,
lp-at107,Montagebeugel voor vlakke high bay,<p>Montagebeugel voor vlakke high bay. Toebehoren voor de led high bay vlak uit de serie ATRIA.</p><ul><li>Past op de armaturen uit deze serie</li><li>Direct uit voorraad</li></ul><h3>Specificaties</h3><table><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 6 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>,Lichtplein,ATRIA,"ATRIA,B2B,Toebehoren",TRUE,Title,Default Title,LP-AT107,32.05,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-at107-1-l.webp,1,active
